"group" "ints" "reals"
"117" "c" 8 2.23157928195616
"118" "c" 6 -1.46699693045282
"119" "c" 7 -1.79312660647082
"120" "b" 5 -0.617440245545738
"121" "c" 4 0.118192249455059
"122" "a" 7 0.122729374086296
"123" "a" 6 0.673667844877049
"124" "c" 6 0.254172129731063
"125" "a" 5 -0.235189804104493
"126" "c" 3 -0.576564437245228
"127" "c" 5 -1.42678215561065
"128" "a" 9 0.408109428336618
"129" "a" 8 0.585817314582129
"130" "c" 6 0.357248246877291
"131" "a" 5 -0.905937167874732
"132" "a" 5 -0.809748685762056
"133" "b" 4 0.550206979373895
"134" "b" 6 -0.754048464891033
"135" "a" 5 0.788357295237683
"136" "b" 8 0.677031114971579
"137" "c" 5 -1.62734670379421
"138" "b" 5 -0.972111589140184
"139" "a" 1 0.552946380272385
"140" "a" 6 -1.12172420403529
"141" "b" 7 1.11135543642015
"142" "c" 7 0.110900996687636
"143" "a" 6 0.0773105495710964
"144" "b" 4 -0.278362766976259
"145" "b" 5 -1.28658108098699
"146" "b" 6 -0.697902161567551
"147" "c" 4 -0.216424714562434
"148" "c" 7 0.767152230572575
"149" "c" 8 0.773314883281957
"150" "a" 5 -1.99065014370636
"151" "b" 7 -0.279570716641294
"152" "a" 5 1.1762797870398
"153" "a" 7 0.459552815077077
"154" "a" 4 1.92220822582526
"155" "c" 3 -0.0694622496867294
"156" "b" 5 1.09135706520031
"157" "a" 6 -0.246675307540385
"158" "a" 4 0.852536531406644
"159" "a" 5 0.127532206046496
"160" "b" 6 0.962026624829789
"161" "a" 2 1.25373923810562
"162" "a" 4 -0.613654044881086
"163" "c" 4 1.46287987333202
"164" "a" 7 0.584444793263745
"165" "a" 6 0.796908815610113
"166" "c" 5 -1.25081175435858
"167" "c" 3 -0.117815240344036
"168" "a" 3 0.44064863124938
"169" "a" 5 -0.871012474640602
"170" "c" 5 -0.875624997969173
"171" "a" 5 0.193493943839332
"172" "c" 4 -0.299437981573028
"173" "b" 3 0.491719210355897
"174" "b" 6 1.42538650383724
"175" "b" 6 1.08158212480133
"176" "c" 7 0.277074181351923
"177" "b" 4 0.279223380589158
"178" "b" 6 0.321000590023972
"179" "c" 3 0.032791821416516
"180" "a" 6 0.731732658203626
"181" "a" 6 0.212142696788597
"182" "a" 3 -0.0446132432182081
"183" "a" 5 0.122922359271785
"184" "a" 7 0.998412929981584
"185" "b" 4 -0.0164533563003425
"186" "b" 4 1.01830166563379
"187" "c" 2 1.37961513343166
"188" "c" 4 -0.431298101403355
"189" "a" 3 0.112564949569236
"190" "b" 9 -0.608159634432293
"191" "c" 4 1.63628101863262
"192" "a" 4 -0.843487828587109
"193" "b" 4 1.55808550043857
"194" "a" 5 -0.255288983009794
"195" "a" 5 -0.650382177953526
"196" "c" 7 -0.293849189260117
"197" "c" 6 1.2770014513968
"198" "a" 7 -0.511107594164064
"199" "c" 3 1.12479270562706
"200" "b" 5 0.438341519101478
"201" "a" 5 -0.105481983705387
"202" "c" 4 -1.2355151680398
"203" "a" 4 -1.43520251534385
"204" "b" 5 -0.0968390709460552
"205" "a" 4 -0.338070698674287
"206" "c" 6 1.45973538540716
"207" "b" 4 1.20339652414953
"208" "c" 8 1.09783469168722
"209" "c" 3 0.706888913198266
"210" "a" 4 -0.164391898233317
"211" "b" 4 -1.20430657939883
"212" "b" 5 0.424242754431478
"213" "c" 3 0.685139334718763
"214" "c" 4 -0.39748714573165
"215" "a" 5 -1.18428017578199
"216" "c" 7 -1.36194459297077
"217" "a" 5 0.313857811913538
"218" "c" 5 -0.170995110972128
"219" "a" 5 1.23395524653392
"220" "b" 6 -0.871896291217438
"221" "c" 6 -1.55893293659504
"222" "c" 4 0.436788896981673
"223" "c" 4 -0.997305681305791
"224" "b" 8 -1.27607017013028
"225" "c" 3 -0.477361709599624
"226" "a" 3 0.327428767233663
"227" "b" 2 0.230215460010312
"228" "c" 7 1.12241905273956
"229" "a" 6 0.800389940792477
"230" "c" 9 -0.880855789847003
"231" "a" 5 2.53396381173155
"232" "c" 1 0.271390644013619
"233" "b" 4 -1.64266603544892
"234" "c" 5 -1.16383641640624
"235" "b" 7 -0.175147153311533
"236" "b" 6 -0.387701987455159
"237" "b" 5 0.916970762051521
"238" "c" 3 -0.779256672441817
"239" "a" 5 -0.377811289865463
"240" "b" 6 1.75239515269337
"241" "a" 4 1.14306154449494
"242" "a" 7 -0.158930242125827
"243" "b" 4 -1.31109748063473
"244" "a" 6 -1.50515804792055
"245" "c" 7 -0.663866958507139
"246" "b" 4 1.14458401236319
"247" "c" 6 0.438061513050508
"248" "a" 6 -0.311041727630457
"249" "c" 5 -0.124671918641541
"250" "c" 3 -1.06303802509323
"251" "b" 2 0.0807152024949624
"252" "c" 4 1.40968680453599
"253" "b" 3 1.64888430511909
"254" "b" 7 -0.212969344526627
"255" "c" 3 0.543817499041246
"256" "b" 3 -1.90789041814105
"257" "a" 4 0.887784792838455
"258" "a" 7 0.143781416605308
"259" "b" 5 -1.67599613786217
"260" "a" 4 -0.42657502862446
"261" "a" 7 1.08247725936729
"262" "a" 3 -1.50571679470367
"263" "a" 6 1.10639485307542
"264" "b" 6 0.380750621059264
"265" "c" 4 0.134690315494128
"266" "c" 5 1.01072435102808
"267" "b" 4 -0.20790660183333
"268" "a" 2 -1.2113109074642
"269" "a" 3 1.18117979792159
"270" "c" 5 -1.80967419432965
"271" "a" 5 0.261315782158739
"272" "b" 6 0.338079352312199
"273" "a" 6 0.827506532227213
"274" "a" 6 -0.167700575696143
"275" "c" 4 -0.0048002545938963
"276" "c" 7 1.82072913793673
"277" "c" 7 -0.287550269632987
"278" "a" 4 0.915329480914742
"279" "c" 5 -2.184181911608
"280" "c" 6 -0.312920862782432
"281" "c" 6 -0.768068084177825
"282" "c" 5 2.08895107304791
"283" "a" 6 -1.47515172676236
"284" "a" 6 -1.2346129273497
"285" "b" 5 -1.73598270681204
"286" "b" 5 0.0976689626576567
"287" "b" 8 -0.858747899868292
"288" "a" 4 -0.487714780868117
"289" "c" 8 0.98647547690683
"290" "a" 4 -0.588800700431899
"291" "b" 8 0.936436636886863
"292" "c" 2 -2.06765448623772
"293" "b" 8 -1.07756081281431
"294" "b" 4 -0.0922261212139103
"295" "b" 6 0.279546214450472
"296" "b" 4 -0.790454425623213
"297" "b" 6 1.77476006424518
"298" "b" 5 0.680460060695855
"299" "c" 4 0.0791537893637078
"300" "c" 3 -0.715674554639958
"301" "c" 5 -1.13594729203713
"302" "c" 6 0.583757673953243
"303" "b" 7 1.10523796938912
"304" "c" 6 0.242205384197807
"305" "b" 4 -1.42108153777459
"306" "b" 5 0.423099472451889
"307" "c" 4 -0.360830033708747
"308" "a" 8 0.00407515535720653
"309" "b" 6 0.8279519541239
"310" "a" 7 1.81235241206792
"311" "c" 2 -1.07168889755941
"312" "a" 5 0.372940277712849
"313" "c" 5 -1.05113683049013
"314" "b" 4 -2.20747332964558
"315" "a" 7 -0.308237827795563
"316" "a" 2 -0.794523110325329
"317" "b" 7 -1.39936154476426
"318" "b" 6 -0.565281969294836
"319" "b" 9 0.189753962058423
"320" "a" 4 -0.399781090970882
"321" "c" 3 2.13129225860899
"322" "a" 1 -0.393063411930492
"323" "b" 4 1.49400026227556
"324" "b" 6 -0.0471065576697551
"325" "a" 7 0.146589592375596
"326" "b" 5 -0.25910555817792
"327" "c" 5 1.50501804897518
"328" "b" 8 1.40681076056265
"329" "b" 5 -0.479092929882467
"330" "c" 6 -1.15260619353271
"331" "c" 6 0.407225062014715
"332" "a" 5 -0.57665867788667
"333" "c" 7 -0.854744689206919
"334" "c" 7 0.668106038550706
"335" "a" 5 1.37843131343305
"336" "a" 3 0.63036967342413
"337" "b" 7 2.44293753314836
"338" "b" 4 -0.167727661090339
"339" "b" 5 -0.142985943794184
"340" "c" 5 -0.917903288666997
"341" "b" 2 1.70085893308052
"342" "c" 4 0.118775186511882
"343" "c" 3 1.66092861599132
"344" "b" 5 0.188092809266898
"345" "b" 4 -0.443255818225319
"346" "a" 8 2.23707653547297
"347" "a" 6 2.61173684257104
"348" "c" 3 1.30507261607989
"349" "a" 7 -0.166282438729639
"350" "c" 5 0.501976862153408
"351" "a" 4 0.202321215249216
"352" "a" 4 -1.24389078213114
"353" "a" 1 0.541705468566477
"354" "b" 3 0.0441211920396915
"355" "c" 8 -1.55086668647783
"356" "a" 7 0.335315748803278
"357" "a" 3 0.510555512326057
"358" "a" 6 0.569686536783381
"359" "b" 7 -2.50310823089352
"360" "b" 4 -0.898502234510475
"361" "a" 4 -0.24872857057076
"362" "a" 6 1.21685551892569
"363" "c" 4 0.0731407481262272
"364" "a" 8 -0.61826269160397
"365" "c" 6 -0.103514333585215
"366" "b" 8 0.331507552032651
"367" "a" 5 0.327791537249629
"368" "a" 3 -1.174618821739
"369" "c" 7 -1.16791875210146
"370" "b" 6 0.472587454453898
"371" "b" 4 1.47936252814169
"372" "a" 2 1.51501940606766
"373" "a" 4 1.65693219618177
"374" "b" 4 -1.52511510571488
"375" "a" 6 -0.149163035613506
"376" "b" 4 -0.0820402457323762
"377" "b" 6 0.0800034318939634
"378" "c" 5 -0.636419424040972
"379" "b" 6 -0.656013557399304
"380" "a" 6 0.55040179202877
"381" "c" 5 -0.382316018524055
"382" "b" 6 -0.531175784069205
"383" "a" 7 1.1501755813648
"384" "b" 6 -0.0745365136430597
"385" "c" 4 -1.09265660449883
"386" "c" 6 0.744313082834693
"387" "c" 4 1.50058828241727
"388" "a" 3 -0.709872012125411
"389" "b" 5 2.07054976901706
"390" "a" 6 -2.12106789066262
"391" "b" 4 -0.608654752575871
"392" "a" 7 -1.25784138525181
"393" "c" 3 0.741866659004501
"394" "b" 4 -0.561318552249994
"395" "b" 7 -0.282395148522937
"396" "a" 3 0.742878013035838
"397" "c" 4 -0.594002418881033
"398" "b" 4 2.44536899622018
"399" "b" 2 1.9312058865435
"400" "c" 7 0.122253822432692
"401" "a" 4 2.98792444115098
"402" "c" 5 0.749706366405574
"403" "a" 5 -0.889064644216604
"404" "c" 9 0.381141904401446
"405" "a" 7 -1.15292792320126
"406" "b" 3 0.705687262699885
"407" "b" 6 0.900810142364616
"408" "b" 5 1.52088351985476
"409" "b" 5 0.26873128830265
"410" "c" 8 -0.224928024334039
"411" "b" 5 -0.59811011228831
"412" "b" 4 1.5843207865089
"413" "b" 6 -0.0933545514582332
"414" "a" 6 -0.80894346011751
"415" "b" 5 0.465060910679263
"416" "a" 3 -0.691150552610282
"417" "b" 5 1.64335487515321
"418" "b" 4 -0.294612545147048
"419" "c" 6 -0.579205075638995
"420" "a" 4 -0.850039278140516
"421" "c" 5 -0.40154725687558
"422" "c" 7 -0.953896051412522
"423" "a" 6 -0.07967538675601
"424" "b" 6 0.0260102076391533
"425" "c" 7 0.712137545282537
"426" "c" 4 0.818692426483828
"427" "a" 5 -1.64851576292264
"428" "a" 5 -0.5985723654628
"429" "c" 6 0.312187747428244
"430" "c" 7 -0.0462531203764193
"431" "a" 5 1.52978767675798
"432" "c" 7 -1.18627656301177
"433" "b" 4 -0.705605767917702
"434" "a" 5 1.0267244396651
"435" "c" 2 -0.0776994678120218
"436" "b" 3 0.247465925417298
"437" "c" 5 -0.361733524920023
"438" "c" 6 -0.225378078140804
"439" "c" 5 -1.21555753192071
"440" "c" 6 -0.973495330817207
"441" "b" 6 0.836341272425375
"442" "c" 7 -0.771673991625662
"443" "c" 3 1.41157245391771
"444" "a" 6 -0.146398151564637
"445" "a" 5 -0.488896229462948
"446" "b" 7 0.351857333312541
"447" "a" 6 -1.36505939036873
"448" "a" 5 -0.843832713477739
"449" "a" 5 1.29130398324851
"450" "b" 5 0.034062682746272
"451" "a" 3 -0.0156451072266687
"452" "a" 3 -0.396786590647628
"453" "b" 5 -0.856075881613328
"454" "b" 3 1.05257637268998
"455" "c" 6 0.465552884381824
"456" "b" 8 -1.88367963338469
"457" "c" 6 -0.650922391829055
"458" "a" 6 -0.229856542978262
"459" "a" 6 -2.23772624461493
"460" "b" 2 1.67890225553558
"461" "b" 4 -0.2800447888806
"462" "b" 3 0.849966614268169
"463" "a" 4 -0.638013795879733
"464" "c" 5 0.542227159848912
"465" "b" 5 0.518950803822414
"466" "b" 4 -0.131223340705163
"467" "a" 4 -0.805649207846889
"468" "b" 7 -1.18265454425834
"469" "c" 6 -0.445694806985044
"470" "c" 5 0.0983136810006418
"471" "a" 4 1.0390662813504
"472" "b" 5 0.632886435090734
"473" "c" 6 1.75642253974475
"474" "b" 4 0.571564559545431
"475" "c" 3 0.284558124383485
"476" "a" 6 -0.153022656115135
"477" "c" 2 -1.64682711090508
"478" "c" 5 0.466946610955992
"479" "c" 6 -0.274161115745624
"480" "c" 4 -0.0837905790467846
"481" "a" 4 -0.249845891591992
"482" "b" 5 -0.102014788803219
"483" "c" 5 0.673000427136849
"484" "b" 7 1.88929217238621
"485" "a" 5 -0.707229523549222
"486" "c" 5 -0.330236119565266
"487" "a" 3 1.37270493936267
"488" "a" 5 0.69500644143053
"489" "c" 3 -0.407758368544994
"490" "b" 3 0.0432395215843356
"491" "b" 5 0.383139396651901
"492" "c" 3 -1.25203266406655
"493" "c" 8 -0.51595125653849
"494" "b" 5 0.534884544764447
"495" "a" 7 -1.34623482747214
"496" "c" 6 0.000794289868287232
"497" "b" 7 0.34846655209084
"498" "b" 3 1.28274567334296
"499" "a" 6 -0.360300141738783
"500" "b" 4 -0.179502041295652
"501" "a" 5 -0.365831951969336
"502" "a" 5 -0.0812830197118
"503" "a" 6 -0.547335713968859
"504" "c" 4 -0.115980749102985
"505" "a" 4 0.427491109976831
"506" "c" 6 0.670631989100548
"507" "a" 3 -1.96666002979569
"508" "a" 5 -0.0384490443581615
"509" "a" 3 -0.432329230779546
"510" "b" 4 0.161443356132531
"511" "b" 4 0.917801047462743
"512" "c" 8 0.575539746400025
"513" "a" 8 0.182781742682265
"514" "b" 4 -1.52212193085092
"515" "c" 7 -2.17473580500719
"516" "a" 3 1.70892921587228
"517" "a" 4 -1.90973041301716
"518" "a" 6 -0.73691847683075
"519" "b" 6 1.87945464351897
"520" "b" 7 -0.383289464278923
"521" "a" 4 1.61937827662764
"522" "a" 3 -0.237952201841796
"523" "b" 3 -0.138029152748705
"524" "b" 8 -1.04953819507902
"525" "c" 4 -0.868747311798506
"526" "a" 6 0.668810643063841
"527" "a" 6 0.619453815034588
"528" "c" 5 -0.625743790940128
"529" "a" 7 -0.0625248590574891
"530" "a" 8 1.54021256415769
"531" "c" 4 0.606249727905298
"532" "c" 2 0.195723926780927
"533" "c" 4 2.00917090822236
"534" "c" 4 0.0350069262738826
"535" "a" 4 -0.822934800405652
"536" "b" 4 -1.12578542107036
"537" "c" 7 0.0116545404697511
"538" "b" 5 -0.733973099034483
"539" "a" 4 -0.57025462429693
"540" "c" 4 0.987278029917767
"541" "a" 4 -0.469444223345599
"542" "b" 4 -0.405527777019287
"543" "b" 4 -1.87266507597834
"544" "c" 4 0.735181438291338
"545" "a" 5 -0.761812947640522
"546" "c" 6 -1.23321032375364
"547" "c" 5 0.596762231906865
"548" "c" 3 -0.610142256306748
"549" "b" 4 -0.896132996136109
"550" "b" 3 -0.452816264043421
"551" "c" 2 0.552121050354384
"552" "a" 2 -0.0919205493560271
"553" "b" 5 -0.959178163475272
"554" "c" 8 0.404745136738513
"555" "b" 4 -1.36603628070912
"556" "a" 6 -1.34236421777835
"557" "c" 7 -0.434147055615445
"558" "c" 7 0.586159439540515
"559" "c" 5 1.82091273090249
"560" "a" 4 -0.601365501967217
"561" "a" 8 0.645388542923343
"562" "c" 4 -0.599665445700583
"563" "a" 7 1.31655203127405
"564" "a" 7 0.233165691278765
"565" "a" 8 -0.669677876481723
"566" "c" 3 -0.305129632234529
"567" "a" 5 -0.420563255746169
"568" "c" 7 1.63250621187724
"569" "b" 5 1.32128706723695
"570" "a" 5 0.552961517880892
"571" "c" 5 0.367752806021211
"572" "c" 0 1.1931596545246
"573" "a" 8 -1.89329943542842
"574" "a" 6 -1.85569146600027
"575" "a" 7 -0.463790114062535
"576" "b" 4 1.76253301962554
"577" "b" 5 -0.917320525863222
"578" "b" 2 -0.242091021063033
"579" "a" 5 -1.58552097726437
"580" "c" 8 0.836334769922003
"581" "b" 4 0.651669369619552
"582" "a" 4 0.891289833167265
"583" "c" 4 0.623837706868289
"584" "a" 3 0.467142207781208
"585" "b" 7 -0.296970012103174
"586" "b" 3 -0.212190467425509
"587" "b" 1 -0.138129430747356
"588" "b" 5 -0.641043287331831
"589" "a" 5 0.2580276627829
"590" "c" 2 -2.14389171774009
"591" "c" 4 -1.41449367731873
"592" "b" 3 0.996472117725626
"593" "a" 6 -0.644614657303384
"594" "a" 6 -0.939686689085685
"595" "c" 5 0.240140170070213
"596" "a" 5 -0.915417477850233
"597" "b" 3 0.234941454856142
"598" "c" 5 0.0964520735892935
"599" "a" 6 -0.943348106295535
"600" "b" 7 -0.661032939177117
"601" "c" 5 -0.55600529313187
"602" "b" 5 1.39604153099136
"603" "c" 3 -0.199667430637959
"604" "b" 7 -0.441909660635838
"605" "b" 6 1.53774481909769
"606" "a" 3 0.143528031855376
"607" "b" 3 0.822577143245779
"608" "a" 5 0.941318359869164
"609" "c" 4 -0.21752779505769
"610" "b" 4 0.529076642748166
"611" "b" 4 0.706135057974237
"612" "c" 6 0.36244517057257
"613" "a" 3 -1.11250886217303
"614" "b" 4 -2.09040188498263
"615" "b" 5 1.19669184705415
"616" "b" 5 -0.0341132969401772
"617" "c" 4 1.31645360503043
"618" "c" 6 -0.776777071912555
"619" "c" 3 1.18534799132795
"620" "c" 5 -0.271593397412528
"621" "b" 3 0.671850298033058
"622" "a" 5 0.0768039570377133
"623" "a" 6 0.120025460780185
"624" "b" 7 0.053166223090316
"625" "a" 3 -0.487998417494222
"626" "a" 4 0.231189468062985
"627" "b" 5 -0.719262887742208
"628" "b" 7 -1.28966766333529
"629" "b" 3 0.799796952142436
"630" "a" 7 -0.337811662343337
"631" "b" 7 0.744627015618713
"632" "a" 5 -0.616864312872193
"633" "c" 4 -1.72269979671408
"634" "c" 6 -1.40080115295599
"635" "c" 8 -1.18797403497472
"636" "b" 6 1.71008420305856
"637" "c" 5 -0.316585961371423
"638" "b" 5 -1.12348404347495
"639" "a" 3 -0.192396532600164
"640" "c" 1 0.150646842081292
"641" "b" 7 1.32459907380015
"642" "b" 6 0.233895046133907
"643" "a" 1 -0.220028249556509
"644" "a" 0 -0.291838452958794
"645" "c" 3 -0.705542051863237
"646" "a" 5 -1.7408684861507
"647" "a" 4 0.301746616356964
"648" "a" 5 0.676785367172291
"649" "c" 4 -1.45295088593436
"650" "a" 5 -0.665776853680738
"651" "c" 7 -0.00119940984812785
"652" "b" 7 -0.114114886753235
"653" "b" 2 1.19619309824102
"654" "c" 7 -0.501099273692711
"655" "c" 5 0.0293746498380592
"656" "b" 9 1.9083282383605
"657" "c" 6 -0.284860213081137
"658" "c" 4 1.00741902980434
"659" "a" 5 0.0180691576038026
"660" "a" 7 -0.378519453200994
"661" "a" 5 -0.958397519053345
"662" "b" 3 0.578959175681444
"663" "a" 5 -0.928511565463725
"664" "a" 5 0.47665965122865
"665" "c" 3 -0.750795625011364
"666" "c" 5 -1.02506967956463
"667" "c" 3 0.741554954975411
"668" "a" 1 -2.04482254283143
"669" "c" 7 -0.0313051602501839
"670" "b" 5 -0.693558357079481
"671" "a" 4 -0.493789099692882
"672" "b" 2 -0.781284214293619
"673" "a" 6 -1.02353494850187
"674" "a" 4 -0.383825708295017
"675" "c" 7 0.86625906743377
"676" "a" 5 0.175520139243703
"677" "c" 8 -0.282638092352996
"678" "a" 3 1.94156249745055
"679" "b" 4 -0.126183106414172
"680" "a" 4 0.402032011804948
"681" "c" 3 0.603061959544934
"682" "b" 6 -0.387869113081087
"683" "b" 5 -0.11287483573211
"684" "b" 5 0.614434058927376
"685" "a" 3 -1.2394687984051
"686" "c" 6 -0.848860054627376
"687" "a" 6 -0.539133948170116
"688" "a" 6 0.438903804138559
"689" "a" 4 -0.0603830004995964
"690" "a" 4 -0.578187170135688
"691" "c" 5 0.927826711573393
"692" "b" 6 -1.3062414716923
"693" "a" 2 -0.915157367867017
"694" "c" 6 -0.93467619587413
"695" "b" 7 -0.238937646410933
"696" "c" 5 0.408282941003724
"697" "b" 7 1.24516662889299
"698" "a" 5 1.64765294548189
"699" "a" 3 0.134401107590068
"700" "a" 3 -0.830261522511151
"701" "a" 6 0.290169572812017
"702" "b" 4 1.45631183993854
"703" "a" 5 0.0944795652762265
"704" "b" 2 -0.106130109326287
"705" "b" 6 0.895289345789335
"706" "c" 3 -0.829005654312808
"707" "b" 4 -0.181077566106647
"708" "c" 6 0.519560364335277
"709" "a" 7 0.139462060283904
"710" "a" 5 -1.18142963606243
"711" "a" 6 0.652030922536592
"712" "a" 5 0.333210705393719
"713" "b" 6 -0.0936115569513843
"714" "b" 7 -0.113042736808485
"715" "a" 3 -0.0421483932362873
"716" "b" 3 0.586730727563913
"717" "c" 6 0.120924357466699
"718" "a" 3 -1.46232002731277
"719" "a" 4 -1.42589356523305
"720" "b" 6 -0.00632028099457733
"721" "c" 4 -0.674896019733211
"722" "c" 6 -0.424968847317445
"723" "b" 8 1.2271765905849
"724" "b" 4 2.00902923169442
"725" "b" 5 0.207124798756809
"726" "b" 9 0.0455757235231684
"727" "c" 4 -0.523791333723003
"728" "c" 5 -1.24949030547267
"729" "a" 3 0.0748202085518514
"730" "a" 7 -1.2628572554292
"731" "a" 4 -0.116932844509929
"732" "a" 5 0.052836439606533
"733" "b" 5 1.66963492732682
"734" "c" 4 0.75553982890587
"735" "a" 4 -0.613803204782071
"736" "b" 2 -0.813459464915983
"737" "c" 5 1.27548318852123
"738" "a" 4 -0.557385895715652
"739" "c" 4 0.213378176264746
"740" "c" 6 -0.559259071241976
"741" "a" 5 -1.01591213870163
"742" "b" 3 0.14072977263349
"743" "b" 4 -0.44061845589777
"744" "c" 5 0.17705591263367
"745" "c" 6 0.585019571788414
"746" "a" 5 0.866796739502236
"747" "c" 7 -1.95612396492504
"748" "a" 5 1.52345625090944
"749" "b" 3 -2.01010653518411
"750" "c" 4 -0.0227365386046607
"751" "c" 5 -1.61981810573791
"752" "b" 7 -0.560157990357252
"753" "c" 3 -0.448523236020942
"754" "c" 4 0.918080699390298
"755" "a" 3 -1.29208454320906
"756" "b" 4 0.520718095768184
"757" "a" 2 0.399932897096087
"758" "b" 8 0.431482729432008
"759" "c" 7 1.13638280651978
"760" "a" 7 0.143030630036712
"761" "b" 7 1.77009117243171
"762" "c" 3 0.421326156077753
"763" "a" 5 -2.188733992082
"764" "b" 4 1.03736819682287
"765" "c" 6 -0.292284985719952
"766" "b" 6 0.751250322498705
"767" "c" 6 -0.46665630223104
"768" "c" 4 0.276165898401496
"769" "a" 5 -0.823519518074905
"770" "c" 4 0.0817955453654821
"771" "b" 7 -0.746238512326849
"772" "b" 3 -1.1894486754206
"773" "b" 3 0.354915737822665
"774" "a" 8 1.07936086635142
"775" "a" 5 -1.92017599045284
"776" "a" 5 -0.177281941996445
"777" "b" 7 0.993598148019344
"778" "b" 4 -0.617523924060899
"779" "b" 6 -0.28393665294282
"780" "b" 4 -1.0095202599597
"781" "c" 8 -2.05088531098951
"782" "b" 8 0.4490916235492
"783" "c" 7 -1.05222688591241
"784" "a" 4 1.82255935517273
"785" "c" 6 0.685337544274009
"786" "a" 4 0.151021080426672
"787" "a" 3 0.249617424312329
"788" "c" 4 0.255596032602109
"789" "a" 4 0.0500159503895069
"790" "a" 6 1.92178937540182
"791" "c" 3 -1.26488818935921
"792" "a" 5 -0.0587010277749819
"793" "a" 2 0.865186620959138
"794" "b" 4 0.622753631479174
